date	france	germany	italy	uk	us	canada	russia	brazil	south africa	mexico	oil
2001-05-21	0.166429684	0.647914042	-0.972884185	0.911028588	1.422318521	0.130465115	1.530823906	-0.210732629	2.267925123	0.585819348	0.102023474
2001-05-22	-0.243908104	-0.411399878	0.115867985	0.020597652	-0.247070378	0.7504362	-1.894372869	0.869822908	-0.611042938	0.739327771	-0.204151143
2001-05-23	-1.780919561	-1.469699933	-0.77528058	-1.514698455	-1.513937104	-0.788262594	1.032609572	-2.257551787	-1.341680243	0.810444473	-0.409556886
2001-05-24	0.124585907	0.737898976	0.236815626	-0.746219983	0.380309909	-0.222409735	-0.945018325	-1.347592356	-0.033060283	-1.822687532	-2.458146966
2001-05-25	-1.268197841	-1.006406723	-0.971956629	0.287195947	-1.163074307	-0.534042088	-1.970605497	-1.986412983	-0.389025067	-0.614736706	-0.175407868
2001-05-29	-0.955881361	-1.774151662	-0.64356025	-0.582795303	-0.782231559	0.024455723	0.364935017	1.712526022	0.429946728	-0.433577186	2.393869734
2001-05-30	-1.373509803	-1.227838326	-1.233218621	-0.832965661	-1.495027603	-1.907814122	2.394701539	-0.718034118	0.142885945	-1.890046155	-0.102898311
2001-05-31	-0.95373838	0.122912794	-1.688609861	-0.151768175	0.629137739	0.224821737	2.466595483	1.541364161	0.080131448	0.131375983	0.683997195
2001-06-01	-0.513811156	-0.033551686	-0.354419444	-0.162282298	0.409266486	2.108210876	2.786323209	1.104553859	-1.903909905	0.337787807	-0.924505814
2001-06-04	0.13576934	1.174967374	-0.526728915	0.732165291	0.545895621	0.528263432	2.239688994	1.264729693	0.26781421	0.675986809	0.651468102
2001-06-05	1.523408047	0.981808713	0.699481499	0.804788945	1.208592634	-0.619224757	-2.853298522	-0.555394707	0.038166188	-0.0042711	1.425202271
2001-06-06	-0.541709668	-0.940670311	-0.97131422	-1.478123316	-1.058977773	-0.431762607	-1.253316354	-0.646953466	-1.047104564	2.061951874	-2.455785078
